trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,12,2.966436198408529,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.2893842179390506}",25,0,-31.603564436579706,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
125,False,"{'a': 0.01, 'e': 0.2865047968601901}",30,3,31.015415377336847,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2836540264997704}",25,19,9.097859700717999,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,0,23.1246576854958,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.01, 'e': 0.27803730045319414}",35,12,-2.399431018754201,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27527078308975234}",20,0,-73.60057149355234,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
130,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,8,-34.3106763609764,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2698200563846868}",20,5,2.159920755788417,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.26713530196585034}",20,6,5.027470142305477,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26447726129982396}",30,17,-31.63692872155989,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.261845668580326}",20,5,0.9691821586895291,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2592402606458915}",30,3,-16.05766765961274,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.2566607769535559}",30,14,15.842536949577338,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,4,-6.21389673094832,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.25157855305975646}",35,18,-34.15098359039802,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
139,False,"{'a': 0.01, 'e': 0.24907530463166816}",30,0,-65.55904129723883,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",20,0,13.395946135132276,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
141,False,"{'a': 0.01, 'e': 0.2441432831534371}",25,0,-34.651630503422076,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",30,4,-110.19459328081244,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 3}",1
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",20,4,26.888487997450266,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,0,16.875550115649958,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",25,3,-11.652765830522464,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",35,21,12.690965426650955,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",20,0,-8.036386480527568,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",25,0,17.116146684106546,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",20,0,-6.043319565351078,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",20,6,-16.27527419432659,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",25,15,18.649567756411606,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",20,0,1.7225895771640234,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",30,0,19.552132482535622,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",25,0,22.506834368901764,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",20,8,-14.353561193294034,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",20,0,8.05973947100863,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",20,0,24.35311914869487,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",25,15,6.833819493428874,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,8,4.988389050747073,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",25,0,-10.494624020239794,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",25,0,16.464309833376436,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",25,0,31.731722214421122,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",25,4,-43.27629113736586,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",20,0,29.445523814096667,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,11,-34.93962013165725,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",25,0,1.4249158841525087,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",30,17,22.88479663883285,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",30,2,-28.67533470061457,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 1}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",20,12,12.287508392596084,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",30,11,19.555625736208086,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",25,8,4.17027029691379,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,0,8.968308844185387,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",25,15,15.587009395019397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",30,0,-72.68778376489034,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",20,8,6.172906595545041,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,10,18.018002605098857,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",25,7,-9.643222214108999,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",25,3,-24.584495093881085,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1669601696670407}",25,13,20.369310566224016,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",25,11,14.084586115633877,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
