trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
30,False,"{'a': 0.01, 'e': 0.7408182206817179}",35,0,-56.78980365306281,"{0: 26, 1: 2, 2: 6, 3: 1, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.7334469562242892}",20,0,-33.68932349212888,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.01, 'e': 0.7261490370736909}",35,18,-18.258747586885598,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.01, 'e': 0.7189237334319262}",25,12,-99.52545639202745,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 2}",1
34,False,"{'a': 0.01, 'e': 0.7117703227626097}",20,0,-93.54604178352331,"{0: 12, 1: 0, 2: 5, 3: 3, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.7046880897187134}",20,0,19.99231090784841,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.697676326071031}",25,15,9.899439022467128,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.01, 'e': 0.6907343306373547}",30,21,-33.228939794067074,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
38,False,"{'a': 0.01, 'e': 0.6838614092123558}",25,0,-52.8483791377632,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.6770568744981647}",25,15,-49.08400870557833,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.01, 'e': 0.6703200460356393}",20,4,-2.6143842033357045,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.01, 'e': 0.6636502501363194}",35,0,-240.9179464678685,"{0: 22, 1: 1, 2: 6, 3: 2, 4: 4}",0
42,False,"{'a': 0.01, 'e': 0.6570468198150567}",25,13,-24.37915700547879,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.6505090947233165}",25,18,-9.810037779694872,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
44,False,"{'a': 0.01, 'e': 0.6440364210831414}",20,0,-169.44365220884345,"{0: 11, 1: 3, 2: 1, 3: 2, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.6376281516217733}",20,0,-1.321431369159793,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.631283645506926}",30,0,-42.39534601900613,"{0: 25, 1: 2, 2: 0, 3: 3, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.6250022682827008}",30,0,-42.50041016953843,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
48,False,"{'a': 0.01, 'e': 0.6187833918061408}",30,20,8.190941594937033,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.6126263941844161}",20,7,-65.51853223993976,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.6065306597126334}",20,0,-116.01094733358465,"{0: 14, 1: 0, 2: 1, 3: 4, 4: 1}",1
51,False,"{'a': 0.01, 'e': 0.6004955788122659}",25,0,-80.97593144204096,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.5945205479701944}",20,0,-210.4633631263416,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
53,False,"{'a': 0.01, 'e': 0.5886049696783552}",25,0,-19.227356484903822,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.5827482523739896}",30,0,-20.862386674692306,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.5769498103804866}",25,0,-27.939323679106074,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.01, 'e': 0.5712090638488149}",35,16,-46.59765963530937,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,11,-21.880763289318466,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.559898366565402}",35,20,25.38518777512386,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,5,-88.76638815504548,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",35,18,2.145176917954398,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,1,-18.557812571409745,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",20,1,-12.077649629532782,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",25,0,-66.07669277357739,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",20,0,-106.23073569745748,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
65,False,"{'a': 0.01, 'e': 0.522045776761016}",20,0,-58.642305356410645,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,0,-23.629619428618543,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",20,10,-53.72362032982572,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",20,10,-27.401473268962594,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",20,0,-29.22546542873093,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,14,14.163065753739314,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,0,-67.1402317186803,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",30,16,-41.34498437836654,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",35,15,-93.1738924565098,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",1
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",30,6,-49.7216043652879,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",20,0,-24.76836537897458,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,0,-37.15521562559986,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",25,9,-65.28730931972915,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",25,0,-110.6035795996544,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",25,0,-79.20208581054112,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",20,3,-36.92929213074544,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",30,12,-12.895862311847932,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.44043165450599925}",25,11,-50.66320060930606,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
83,False,"{'a': 0.01, 'e': 0.43604928632153556}",25,15,-35.287747510262406,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.43171052342907973}",20,10,-53.25902906989759,"{0: 4, 1: 2, 2: 3, 3: 1, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.4274149319487267}",30,11,-52.773406121005465,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
86,False,"{'a': 0.01, 'e': 0.4231620823177488}",30,0,-189.3100643281878,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 4}",0
87,False,"{'a': 0.01, 'e': 0.418951549247639}",35,21,-30.850637235907897,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.01, 'e': 0.4147829116815814}",20,16,7.0142281440800485,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.4106557527523455}",35,27,13.854110762664005,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.4065696597405991}",20,0,-66.46415927786181,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
91,False,"{'a': 0.01, 'e': 0.40252422403363597}",20,0,-16.39896672399516,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
92,False,"{'a': 0.01, 'e': 0.39851904108451414}",20,0,-85.30324628644748,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
93,False,"{'a': 0.01, 'e': 0.3945537103716011}",25,13,12.838746080457508,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3906278353585211}",35,0,-28.332416726450973,"{0: 31, 1: 1, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.3867410234545012}",20,0,-38.22964533506546,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.38289288597511206}",25,13,13.360275052931438,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.37908303810339883}",25,1,-6.218916525656002,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.37531109885139957}",20,12,-19.684187459348433,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.3715766910220457}",30,6,-47.486864033896396,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.36787944117144233}",20,2,2.901871940080304,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3642189795715233}",25,17,11.888542030694765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,13,14.796458120338247,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.3570069605691474}",25,3,11.646689384164814,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.35345468195878016}",25,8,9.554278981936253,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.3499377491111553}",30,23,8.944302555186692,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.3464558103300574}",30,17,13.944580529963055,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,11,9.303761755631111,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.3395955256449391}",20,0,-17.835596494098855,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.33621649370673334}",25,2,-0.4250444571428449,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.33287108369807955}",25,15,15.906697565704633,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
